"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-21","0.00","0.0","0.0","71","86","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-22","0.00","0.0","0.0","72","84","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-23","0.00","0.0","0.0","68","81","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-24","0.00","0.0","0.0","71","86","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-25","0.00","0.0","0.0","73","87","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-26","0.00","0.0","0.0","73","87","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-27","0.00","0.0","0.0","74","87","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-28","0.00","0.0","0.0","77","91","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-29","0.00","0.0","0.0","81","96","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-06-30","0.00","0.0","0.0","88","104","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-01","0.00","0.0","0.0","92","108","77"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-02","0.00","0.0","0.0","94","108","77"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-03","0.00","0.0","0.0","91","104","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-04","0.00","0.0","0.0","86","100","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-05","0.00","0.0","0.0","84","99","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-06","0.00","0.0","0.0","80","95","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-07","0.00","0.0","0.0","78","93","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-08","0.00","0.0","0.0","77","90","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-09","0.00","0.0","0.0","75","89","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-10","0.00","0.0","0.0","74","91","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-11","0.00","0.0","0.0","82","99","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-12","0.00","0.0","0.0","86","102","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-13","0.00","0.0","0.0","86","101","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-14","0.00","0.0","0.0","86","101","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-15","0.00","0.0","0.0","90","106","76"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-16","0.00","0.0","0.0","93","108","79"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-17","0.00","0.0","0.0","94","109","81"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-18","0.00","0.0","0.0","93","105","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-19","0.00","0.0","0.0","89","104","75"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-20","0.00","0.0","0.0","88","104","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-21","0.00","0.0","0.0","89","104","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-22","0.00","0.0","0.0","93","108","78"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-23","0.00","0.0","0.0","94","107","81"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-24","0.00","0.0","0.0","89","102","74"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-25","0.00","0.0","0.0","86","101","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-26","0.00","0.0","0.0","88","105","73"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-27","0.00","0.0","0.0","88","103","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-28","0.00","0.0","0.0","85","100","70"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-29","0.00","0.0","0.0","86","102","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-30","0.00","0.0","0.0","86","103","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-07-31","0.00","0.0","0.0","88","104","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-01","0.00","0.0","0.0","87","100","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-02","0.00","0.0","0.0","80","93","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-03","0.00","0.0","0.0","77","91","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-04","0.00","0.0","0.0","77","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-05","0.00","0.0","0.0","84","97","69"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-06","0.00","0.0","0.0","86","100","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-07","0.00","0.0","0.0","89","104","75"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-08","0.00","0.0","0.0","87","100","71"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-09","0.00","0.0","0.0","83","96","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-10","0.00","0.0","0.0","81","94","66"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-11","0.00","0.0","0.0","80","93","72"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-08-12","0.00","0.0","0.0","83","98","69"
